Time - Plot 0,Amplitude - Plot 0
738,12.1338
739,8.60884
740,4.07328
741,-0.993443
742,-6.16303
743,-10.6024
744,-13.715
745,-15.0617
746,-14.7957
747,-12.4542
748,-8.6867
749,-3.73029
750,1.47346
751,6.15529
752,10.1231
753,12.8295
754,13.9576
755,13.4422
756,11.2058
757,7.57901
758,3.1223
759,-1.83308
760,-6.69548
761,-10.7814
762,-13.5374
763,-14.7026
764,-14.0289
765,-11.4351
766,-7.54116
767,-2.71664
768,2.25376
769,6.62212
770,10.2574
771,12.6631
772,13.4628
773,12.675
774,10.2057
775,6.52541
776,2.19572
777,-2.61711
778,-7.18388
779,-10.9111
780,-13.2914
781,-14.1802
782,-13.1267
783,-10.3886
784,-6.36646
785,-1.7071
786,2.95393
787,7.06236
788,10.3871
789,12.4462
790,12.9271
791,11.8769
792,9.19921
793,5.49584
794,1.25193
795,-3.3612
796,-7.67908
797,-10.9989
798,-13.0508
799,-13.3707
800,-12.1931
801,-9.32535
802,-5.25495
803,-0.744429
804,3.61558
805,7.50491
806,10.5001
807,12.2056
808,12.3848
809,10.9771
810,8.20469
811,4.49503
812,0.331767
813,-4.06702
814,-8.15875
815,-11.0516
816,-12.7694
817,-12.8887
818,-11.1712
819,-8.26534
820,-4.17824
821,0.173291
822,4.29391
823,7.90199
824,10.5148
825,11.8453
826,11.722
827,10.023
828,7.22045
829,3.51939
830,-0.57401
831,-4.74587
832,-8.53336
833,-10.9819
834,-12.3406
835,-12.1158
836,-10.2453
837,-7.07562
838,-3.15482
839,1.08485
840,4.90611
841,8.20212
842,10.4642
843,11.4462
844,11.0395
845,9.0921
846,6.15041
847,2.60693
848,-1.4708
849,-5.37798
850,-8.83387
851,-10.881
852,-11.8028
853,-11.2299
854,-9.27642
855,-5.97618
856,-2.1029
857,1.95055
858,5.42649
859,8.44857
860,10.321
861,11.0162
862,10.1693
863,8.18568
864,5.1175
865,1.61781
866,-2.30954
867,-5.97631
868,-9.05926
869,-10.6788
870,-11.2408
871,-10.4046
872,-8.23632
873,-4.85144
874,-1.09772
875,2.7125
876,5.94532
877,8.58932
878,10.0847
879,10.4443
880,9.29963
881,7.21081
882,4.1407
883,0.66156
884,-3.09922
885,-6.47883
886,-9.20361
887,-10.4356
888,-10.615
889,-9.65322
890,-7.0751
891,-3.78924
892,-0.111425
893,3.40213
894,6.39545
895,8.66329
896,9.71881
897,9.69775
898,8.54745
899,6.1526
900,3.16506
901,-0.286339
902,-3.80555
903,-6.88118
904,-9.27938
905,-10.1452
906,-10.0793
907,-8.70031
908,-5.97785
909,-2.74643
910,0.8262
911,4.016
912,6.7779
913,8.64403
914,9.31659
915,9.0704
916,7.6734
917,5.12649
918,2.23951
919,-1.20085
920,-4.45281
921,-7.22664
922,-9.26153
923,-9.87347
924,-9.5316
925,-7.61128
926,-4.87481
927,-1.71095
928,1.66699
929,4.58788
930,7.05812
931,8.55221
932,8.95405
933,8.43033
934,6.70457
935,4.18565
936,1.24987
937,-2.04267
938,-5.01518
939,-7.47438
940,-9.08058
941,-9.59697
942,-8.57112
943,-6.5451
944,-3.83188
945,-0.708855
946,2.46528
947,5.03441
948,7.23509
949,8.39553
950,8.52459
951,7.69112
952,5.66446
953,3.22003
954,0.288488
955,-2.7996
956,-5.50743
957,-7.61372
958,-8.72073
959,-8.81988
960,-7.64158
961,-5.49292
962,-2.78984
963,0.282195
964,3.1318
965,5.43612
966,7.29634
967,8.13701
968,8.03504
969,6.76326
970,4.71566
971,2.26879
972,-0.660825
973,-3.48744
974,-5.88692
975,-7.64364
976,-8.28139
977,-8.05909
978,-6.65246
979,-4.45409
980,-1.75384
981,1.16627
982,3.72486
983,5.75358
984,7.24908
985,7.79669
986,7.32306
987,5.79288
988,3.80526
989,1.31087
990,-1.52666
991,-4.12135
992,-6.13889
993,-7.58598
994,-7.90627
995,-7.34968
996,-5.64998
997,-3.3883
998,-0.769215
999,1.97354
1000,4.24421
1001,5.97293
1002,7.04579
1003,7.36505
1004,6.43282
1005,4.86116
1006,2.86327
1007,0.365286
1008,-2.31634
1009,-4.61758
1010,-6.31676
1011,-7.33426
1012,-7.45421
1013,-6.39767
1014,-4.67396
1015,-2.37619
1016,0.252272
1017,2.67179
1018,4.60778
1019,6.09185
1020,6.62828
1021,6.56972
1022,5.60435
1023,4.02461
1024,1.88236
1025,-0.614463
1026,-2.97824
1027,-5.01107
1028,-6.34617
1029,-6.93371
1030,-6.7213
1031,-5.47686
1032,-3.63513
1033,-1.37692
1034,1.12594
1035,3.31108
1036,4.8776
1037,6.05063
