Time - Plot 0,Amplitude - Plot 0
3349,-11.2797
3350,-13.5512
3351,-14.2256
3352,-12.8574
3353,-9.91611
3354,-5.80473
3355,-1.09194
3356,3.52208
3357,7.65657
3358,10.9412
3359,12.8253
3360,13.1396
3361,11.8099
3362,8.97947
3363,5.15615
3364,0.830181
3365,-3.83098
3366,-8.16055
3367,-11.327
3368,-13.1798
3369,-13.3304
3370,-11.931
3371,-8.92981
3372,-4.74754
3373,-0.171913
3374,4.1791
3375,8.0168
3376,10.9388
3377,12.4422
3378,12.444
3379,10.8831
3380,7.97943
3381,4.14956
3382,-0.106802
3383,-4.51715
3384,-8.55712
3385,-11.3033
3386,-12.883
3387,-12.833
3388,-10.9064
3389,-7.81996
3390,-3.70731
3391,0.741826
3392,4.78745
3393,8.31167
3394,10.8917
3395,12.0789
3396,11.7746
3397,9.90066
3398,6.93252
3399,3.18523
3400,-1.00128
3401,-5.16633
3402,-8.87523
3403,-11.2201
3404,-12.415
3405,-11.9947
3406,-9.96144
3407,-6.64732
3408,-2.67632
3409,1.59854
3410,5.33839
3411,8.582
3412,10.78
3413,11.5634
3414,10.9971
3415,8.91873
3416,5.83937
3417,2.27123
3418,-1.88972
3419,-5.78906
3420,-9.12039
3421,-11.0401
3422,-11.83
3423,-11.0337
3424,-8.98105
3425,-5.53594
3426,-1.64712
3427,2.42007
3428,5.85838
3429,8.7406
3430,10.5866
3431,11.1013
3432,10.0794
3433,7.98174
3434,4.83779
3435,1.26387
3436,-2.71446
3437,-6.33641
3438,-9.2998
3439,-10.7723
3440,-11.2057
3441,-10.232
3442,-7.85258
3443,-4.43188
3444,-0.624224
3445,3.12024
3446,6.33419
3447,8.82793
3448,10.2758
3449,10.4425
3450,9.1811
3451,6.97451
3452,3.81849
3453,0.282323
3454,-3.47165
3455,-6.76663
3456,-9.41127
3457,-10.474
3458,-10.5332
3459,-9.4001
3460,-6.70023
3461,-3.38881
3462,0.348719
3463,3.78779
3464,6.7585
3465,8.84167
3466,9.82027
3467,9.64407
3468,8.39553
3469,5.84798
3470,2.8616
3471,-0.661338
3472,-4.15088
3473,-7.16218
3474,-9.43272
3475,-10.1428
3476,-9.99419
3477,-8.38323
3478,-5.59938
3479,-2.32829
3480,1.25295
3481,4.37623
3482,7.077
3483,8.78941
3484,9.33136
3485,8.98769
3486,7.47267
3487,4.86604
3488,1.87877
3489,-1.57456
3490,-4.76501
3491,-7.45421
3492,-9.35887
3493,-9.86602
3494,-9.32561
3495,-7.25259
3496,-4.50893
3497,-1.29601
3498,2.07448
3499,4.89635
3500,7.29493
3501,8.63016
3502,8.92566
3503,8.30563
3504,6.41779
3505,3.87718
3506,0.906209
3507,-2.38107
3508,-5.29386
3509,-7.63606
3510,-9.10292
3511,-9.46893
3512,-8.28833
3513,-6.18358
3514,-3.44994
3515,-0.275166
3516,2.80124
3517,5.31643
3518,7.41193
3519,8.41081
3520,8.46462
3521,7.48166
3522,5.35688
3523,2.91207
3524,-0.0427184
3525,-3.11835
3526,-5.72408
3527,-7.69449
3528,-8.65498
3529,-8.59655
3530,-7.32823
3531,-5.11792
3532,-2.40162
3533,0.680824
3534,3.44002
3535,5.67229
3536,7.4109
3537,8.12365
3538,7.91612
3539,6.49164
3540,4.4312
3541,1.94169
3542,-1.01772
3543,-3.7624
3544,-6.02883
3545,-7.67009
3546,-8.09543
3547,-7.83461
3548,-6.2912
3549,-4.0868
3550,-1.38539
3551,1.52598
3552,3.98415
3553,5.91732
3554,7.28748
3555,7.70062
3556,7.09369
3557,5.51022
3558,3.50012
3559,0.975558
3560,-1.82769
3561,-4.32926
3562,-6.22198
3563,-7.55515
3564,-7.81573
3565,-7.01693
3566,-5.28615
3567,-3.03655
3568,-0.367118
3569,2.24991
3570,4.42426
3571,6.07285
3572,6.95974
3573,7.06248
3574,6.20692
3575,4.57812
3576,2.51048
3577,0.0452522
3578,-2.55393
3579,-4.7618
3580,-6.32459
3581,-7.11825
3582,-7.10002
3583,-6.03243
3584,-4.30872
3585,-2.0193
3586,0.597733
3587,2.93082
3588,4.70179
3589,6.1047
3590,6.57203
3591,6.44463
3592,5.29601
3593,3.70791
3594,1.60612
3595,-0.919985
3596,-3.16291
3597,-5.06552
3598,-6.27181
3599,-6.7805
3600,-6.38418
3601,-5.14887
3602,-3.25037
3603,-1.03171
3604,1.43069
3605,3.46635
3606,4.94348
3607,5.97563
3608,6.30761
3609,5.67358
3610,4.46202
3611,2.75179
3612,0.665413
3613,-1.71211
3614,-3.71835
3615,-5.243
3616,-6.02742
3617,-6.16278
3618,-5.54891
3619,-4.18427
3620,-2.27717
3621,-0.00380588
3622,2.10672
3623,3.89413
3624,5.04275
3625,5.74691
3626,5.72109
3627,4.8401
3628,3.65436
3629,1.81943
3630,-0.318959
3631,-2.38877
3632,-4.12956
3633,-5.29257
3634,-5.74078
3635,-5.60901
3636,-4.77413
3637,-3.14018
3638,-1.28124
3639,0.899787
3640,2.71147
3641,4.18552
3642,4.99948
3643,5.25966
3644,4.96352
3645,4.15483
3646,2.64931
3647,0.911602
3648,-1.20419
