Strain    ,Stress
0         , Stress
0.00104756,  0.170
0.00172504,  0.426
0.00244504,  0.614
0.00327276,  0.873
0.00421512,  1.305
0.00531276,  1.648
0.0066778 ,  2.274
0.00795528,  2.727
0.00930016,  3.015
0.0107203 ,  3.197
0.0139329 ,  3.488
0.0188457 ,  4.008
0.0207858 ,  4.432
0.0225257 ,  4.832
0.0242882 ,  5.365
0.0260809 ,  5.968
0.0279134 ,  6.695
0.0299861 ,  7.701
0.0318409 ,  8.520
0.0336986 ,  9.442
0.0355137 , 10.282
0.0376614 , 11.231
0.039549  , 12.197
0.0414564 , 13.241
0.0433688 , 14.337
0.0452639 , 15.460
0.0474491 , 16.849
0.0493792 , 18.003
0.0513169 , 19.317
0.0532567 , 20.537
0.055177  , 21.784
0.0573893 , 22.959
0.0593395 , 24.124
0.0612022 , 25.169
0.0634145 , 26.393
0.0653521 , 27.515
0.0673323 , 28.715
0.0692872 , 29.859
0.0712548 , 31.074
0.073475  , 32.291
0.0754252 , 33.395
0.0774025 , 34.554
0.079365  , 35.722
0.0813427 , 36.742
0.0835704 , 37.932
0.0855203 , 38.947
0.0874054 , 39.981
0.0896457 , 40.995
0.0916356 , 41.914
0.0936208 , 42.512
0.0984334 , 19.747
