Strain    ,Stress
0         , Stress
0.00161512,  0.551
0.00229512,  1.009
0.00309512,  1.592
0.00417512,  2.096
0.00526772,  2.625
0.00643024,  2.804
0.0089978 ,  2.989
0.0136479 ,  3.215
0.0168954 ,  3.620
0.0187931 ,  4.296
0.0205307 ,  4.916
0.0222831 ,  5.684
0.0240457 ,  6.541
0.0258583 ,  7.488
0.0279008 ,  8.440
0.0297411 ,  9.411
0.0316035 , 10.423
0.0334636 , 11.481
0.0353436 , 12.541
0.0374661 , 13.792
0.0393587 , 14.865
0.0412765 , 16.052
0.0431764 , 17.243
0.0451014 , 18.326
0.0470491 , 19.487
0.0492142 , 20.867
0.0511468 , 21.991
0.0530592 , 23.059
0.0550069 , 24.063
0.0572019 , 25.230
0.059137  , 26.326
0.0610995 , 27.390
0.063062  , 28.479
0.0650148 , 29.581
0.0672224 , 30.769
0.0691698 , 31.844
0.0711474 , 32.962
0.0730998 , 33.981
0.0750674 , 35.014
0.077275  , 36.191
0.0792328 , 37.301
0.0812277 , 38.331
0.0831902 , 39.407
0.085178  , 40.424
0.0874079 , 41.628
0.0893805 , 42.583
0.0913707 , 43.625
0.0933332 , 44.586
0.0953206 , 45.526
0.0975509 , 46.590
0.0994983 , 47.514
0.101489  , 48.338
0.103459  , 49.077
0.105446  , 49.768
0.107661  , 50.505
0.109699  , 50.919
0.111739  , 36.878
0.116599  ,  0.082
